Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
9:55 AM 	29 	51 	32 	112 	27 	54 	20 	101 	1 	11 	0 	12 	3 	43 	7 	53 	278
10:00 AM 	23 	48 	25 	96 	18 	44 	14 	76 	1 	14 	2 	17 	3 	59 	20 	82 	271
10:05 AM 	20 	28 	15 	63 	22 	30 	16 	68 	1 	13 	2 	16 	11 	51 	14 	76 	223
10:10 AM 	18 	34 	24 	76 	17 	28 	18 	63 	2 	11 	1 	14 	10 	46 	15 	71 	224
10:15 AM 	26 	35 	27 	88 	17 	54 	21 	92 	1 	15 	1 	17 	8 	40 	17 	65 	262
10:20 AM 	22 	31 	21 	74 	22 	51 	19 	92 	1 	12 	1 	14 	8 	55 	25 	88 	268
10:25 AM 	11 	34 	20 	65 	24 	41 	16 	81 	0 	18 	2 	20 	8 	61 	17 	86 	252
10:30 AM 	16 	35 	27 	78 	21 	44 	17 	82 	2 	11 	0 	13 	6 	61 	27 	94 	267
10:35 AM 	25 	53 	21 	99 	13 	34 	15 	62 	0 	18 	0 	18 	9 	51 	11 	71 	250
10:40 AM 	16 	46 	23 	85 	19 	58 	17 	94 	1 	16 	0 	17 	7 	54 	16 	77 	273
10:45 AM 	13 	41 	25 	79 	25 	37 	17 	79 	2 	8 	1 	11 	6 	37 	10 	53 	222
10:50 AM 	14 	41 	27 	82 	14 	47 	17 	78 	1 	18 	0 	19 	13 	60 	18 	91 	270
10:55 AM 	15 	50 	26 	91 	19 	26 	16 	61 	2 	17 	1 	20 	14 	52 	25 	91 	263
11:00 AM 	30 	45 	16 	91 	30 	42 	18 	90 	1 	11 	0 	12 	21 	55 	26 	102 	295
11:05 AM 	21 	39 	31 	91 	19 	49 	18 	86 	4 	11 	0 	15 	14 	47 	11 	72 	264
11:10 AM 	14 	37 	20 	71 	30 	40 	21 	91 	1 	20 	0 	21 	10 	80 	13 	103 	286
11:15 AM 	26 	52 	24 	102 	24 	39 	18 	81 	1 	13 	0 	14 	16 	57 	14 	87 	284
11:20 AM 	18 	29 	17 	64 	18 	40 	10 	68 	0 	15 	1 	16 	11 	57 	26 	94 	242
11:25 AM 	29 	47 	23 	99 	26 	32 	12 	70 	2 	19 	2 	23 	5 	36 	22 	63 	255
11:30 AM 	27 	47 	25 	99 	33 	34 	25 	92 	0 	16 	0 	16 	11 	59 	21 	91 	298
11:35 AM 	11 	35 	23 	69 	23 	36 	16 	75 	1 	18 	3 	22 	5 	62 	16 	83 	249
11:40 AM 	29 	56 	30 	115 	17 	22 	6 	45 	0 	17 	1 	18 	9 	80 	29 	118 	296
11:45 AM 	24 	44 	19 	87 	18 	31 	15 	64 	0 	9 	0 	9 	9 	51 	20 	80 	240
11:50 AM 	35 	57 	25 	117 	17 	26 	7 	50 	0 	11 	0 	11 	15 	64 	16 	95 	273
11:55 AM 	8 	38 	24 	70 	30 	45 	15 	90 	2 	24 	0 	26 	6 	69 	15 	90 	276
12:00 PM 	30 	52 	29 	111 	17 	40 	7 	64 	0 	14 	0 	14 	22 	59 	26 	107 	296
12:05 PM 	29 	50 	28 	107 	23 	48 	11 	82 	1 	18 	0 	19 	8 	78 	23 	109 	317
12:10 PM 	22 	36 	30 	88 	23 	46 	25 	94 	2 	18 	0 	20 	11 	54 	17 	82 	284
12:15 PM 	26 	41 	29 	96 	24 	32 	24 	80 	0 	9 	0 	9 	12 	80 	12 	104 	289
12:20 PM 	16 	37 	31 	84 	26 	32 	16 	74 	1 	15 	1 	17 	19 	96 	23 	138 	313
12:25 PM 	21 	47 	23 	91 	14 	33 	17 	64 	1 	13 	1 	15 	18 	71 	24 	113 	283
12:30 PM 	22 	50 	27 	99 	27 	31 	21 	79 	1 	11 	0 	12 	14 	61 	25 	100 	290
12:35 PM 	19 	48 	27 	94 	30 	29 	19 	78 	1 	12 	0 	13 	19 	60 	24 	103 	288
12:40 PM 	14 	28 	25 	67 	28 	34 	18 	80 	1 	17 	0 	18 	12 	87 	24 	123 	288
12:45 PM 	22 	44 	26 	92 	25 	30 	15 	70 	0 	8 	0 	8 	15 	78 	19 	112 	282
12:50 PM 	22 	64 	32 	118 	24 	46 	21 	91 	0 	9 	0 	9 	8 	71 	23 	102 	320
12:55 PM 	28 	42 	26 	96 	32 	48 	28 	108 	3 	12 	0 	15 	10 	50 	27 	87 	306
1:00 PM 	29 	41 	28 	98 	29 	46 	26 	101 	0 	14 	1 	15 	10 	84 	27 	121 	335
1:05 PM 	12 	24 	13 	49 	31 	26 	21 	78 	2 	17 	1 	20 	12 	97 	18 	127 	274
1:10 PM 	20 	33 	27 	80 	17 	26 	18 	61 	1 	22 	0 	23 	12 	69 	25 	106 	270
1:15 PM 	22 	42 	29 	93 	24 	39 	28 	91 	1 	17 	0 	18 	13 	66 	26 	105 	307
1:20 PM 	33 	33 	22 	88 	15 	42 	24 	81 	0 	11 	1 	12 	18 	69 	21 	108 	289
1:25 PM 	15 	37 	27 	79 	20 	55 	8 	83 	1 	17 	0 	18 	17 	70 	22 	109 	289
1:30 PM 	11 	31 	19 	61 	20 	37 	14 	71 	1 	16 	2 	19 	19 	74 	24 	117 	268
1:35 PM 	27 	44 	30 	101 	23 	24 	16 	63 	0 	14 	0 	14 	14 	65 	19 	98 	276
1:40 PM 	23 	43 	21 	87 	20 	42 	20 	82 	1 	14 	0 	15 	16 	71 	22 	109 	293
1:45 PM 	17 	40 	22 	79 	22 	53 	26 	101 	0 	16 	0 	16 	19 	71 	29 	119 	315
1:50 PM 	26 	29 	16 	71 	29 	42 	12 	83 	0 	11 	1 	12 	17 	76 	19 	112 	278
1:55 PM 	20 	53 	35 	108 	14 	36 	18 	68 	0 	15 	0 	15 	15 	70 	26 	111 	302
2:00 PM 	26 	41 	21 	88 	26 	38 	23 	87 	0 	16 	0 	16 	11 	70 	26 	107 	298
2:05 PM 	29 	46 	23 	98 	33 	46 	29 	108 	1 	12 	0 	13 	9 	62 	21 	92 	311
2:10 PM 	11 	36 	21 	68 	27 	47 	20 	94 	0 	16 	0 	16 	11 	76 	24 	111 	289
2:15 PM 	15 	24 	26 	65 	21 	41 	20 	82 	1 	9 	2 	12 	17 	92 	36 	145 	304
2:20 PM 	22 	32 	26 	80 	22 	45 	22 	89 	1 	19 	0 	20 	10 	69 	27 	106 	295
2:25 PM 	17 	39 	31 	87 	27 	33 	23 	83 	0 	9 	0 	9 	15 	79 	27 	121 	300
2:30 PM 	25 	36 	24 	85 	22 	53 	23 	98 	0 	20 	2 	22 	17 	65 	20 	102 	307
2:35 PM 	8 	30 	12 	50 	31 	32 	15 	78 	0 	18 	1 	19 	12 	70 	24 	106 	253
2:40 PM 	26 	55 	34 	115 	19 	23 	13 	55 	0 	10 	0 	10 	20 	75 	32 	127 	307
2:45 PM 	28 	48 	26 	102 	33 	43 	25 	101 	1 	16 	1 	18 	7 	77 	28 	112 	333
2:50 PM 	26 	27 	22 	75 	30 	64 	23 	117 	0 	11 	1 	12 	6 	54 	30 	90 	294
2:55 PM 	12 	24 	20 	56 	21 	41 	17 	79 	4 	18 	0 	22 	15 	70 	23 	108 	265
3:00 PM 	20 	38 	21 	79 	20 	41 	11 	72 	3 	14 	1 	18 	20 	80 	21 	121 	290
3:05 PM 	28 	41 	23 	92 	14 	56 	30 	100 	2 	18 	0 	20 	16 	80 	31 	127 	339
3:10 PM 	19 	36 	25 	80 	28 	49 	24 	101 	1 	17 	0 	18 	13 	49 	25 	87 	286
3:15 PM 	19 	47 	15 	81 	18 	53 	31 	102 	1 	10 	1 	12 	14 	82 	26 	122 	317
3:20 PM 	11 	22 	16 	49 	29 	31 	23 	83 	0 	16 	2 	18 	20 	73 	32 	125 	275
3:25 PM 	23 	42 	23 	88 	14 	21 	9 	44 	0 	13 	0 	13 	13 	85 	23 	121 	266
3:30 PM 	23 	43 	22 	88 	30 	51 	29 	110 	0 	6 	0 	6 	16 	86 	20 	122 	326
3:35 PM 	18 	56 	30 	104 	23 	49 	21 	93 	0 	14 	0 	14 	16 	85 	19 	120 	331
3:40 PM 	13 	34 	23 	70 	23 	43 	21 	87 	2 	18 	0 	20 	13 	89 	24 	126 	303
3:45 PM 	24 	35 	30 	89 	16 	41 	28 	85 	0 	9 	1 	10 	17 	101 	18 	136 	320
3:50 PM 	23 	34 	25 	82 	29 	44 	26 	99 	0 	18 	2 	20 	10 	100 	18 	128 	329
3:55 PM 	25 	67 	34 	126 	18 	29 	21 	68 	0 	18 	1 	19 	13 	114 	16 	143 	356
4:00 PM 	20 	40 	19 	79 	26 	43 	15 	84 	0 	14 	2 	16 	10 	96 	16 	122 	301
4:05 PM 	30 	52 	39 	121 	17 	32 	17 	66 	1 	20 	0 	21 	10 	103 	31 	144 	352
4:10 PM 	18 	41 	29 	88 	26 	52 	23 	101 	0 	14 	0 	14 	21 	110 	27 	158 	361
4:15 PM 	24 	67 	36 	127 	20 	44 	33 	97 	0 	19 	2 	21 	15 	103 	16 	134 	379
4:20 PM 	19 	39 	29 	87 	29 	50 	28 	107 	1 	18 	0 	19 	11 	141 	27 	179 	392
4:25 PM 	38 	69 	38 	145 	11 	44 	24 	79 	0 	13 	0 	13 	21 	137 	20 	178 	415
4:30 PM 	21 	47 	23 	91 	27 	46 	21 	94 	1 	15 	1 	17 	15 	113 	19 	147 	349
4:35 PM 	30 	47 	42 	119 	15 	26 	17 	58 	0 	11 	0 	11 	15 	115 	22 	152 	340
4:40 PM 	18 	52 	28 	98 	31 	52 	30 	113 	3 	16 	2 	21 	14 	120 	23 	157 	389
4:45 PM 	26 	66 	37 	129 	20 	41 	24 	85 	0 	12 	1 	13 	15 	100 	24 	139 	366
4:50 PM 	21 	42 	30 	93 	31 	46 	31 	108 	0 	22 	1 	23 	12 	127 	29 	168 	392
4:55 PM 	31 	54 	38 	123 	23 	36 	28 	87 	1 	9 	2 	12 	20 	127 	16 	163 	385
5:00 PM 	22 	50 	17 	89 	25 	36 	28 	89 	1 	20 	0 	21 	14 	117 	28 	159 	358
5:05 PM 	29 	67 	33 	129 	18 	33 	19 	70 	0 	15 	0 	15 	22 	135 	21 	178 	392
5:10 PM 	23 	37 	24 	84 	24 	61 	31 	116 	2 	26 	2 	30 	18 	145 	29 	192 	422
5:15 PM 	20 	60 	39 	119 	18 	50 	25 	93 	1 	20 	0 	21 	28 	139 	22 	189 	422
5:20 PM 	17 	37 	27 	81 	28 	57 	32 	117 	0 	13 	1 	14 	18 	146 	28 	192 	404
5:25 PM 	24 	69 	29 	122 	24 	33 	15 	72 	1 	7 	1 	9 	13 	112 	17 	142 	345
5:30 PM 	17 	44 	27 	88 	27 	40 	27 	94 	0 	17 	0 	17 	18 	118 	31 	167 	366
5:35 PM 	21 	70 	33 	124 	16 	30 	23 	69 	0 	12 	1 	13 	15 	114 	23 	152 	358
5:40 PM 	17 	31 	22 	70 	30 	36 	24 	90 	0 	13 	0 	13 	7 	115 	15 	137 	310
5:45 PM 	31 	40 	26 	97 	24 	39 	19 	82 	2 	12 	0 	14 	16 	121 	28 	165 	358
5:50 PM 	11 	19 	18 	48 	32 	30 	20 	82 	0 	20 	0 	20 	12 	154 	31 	197 	347
5:55 PM 	31 	48 	24 	103 	18 	21 	13 	52 	0 	9 	1 	10 	19 	123 	19 	161 	326
6:00 PM 	11 	34 	18 	63 	32 	38 	24 	94 	0 	6 	1 	7 	16 	117 	30 	163 	327
6:05 PM 	25 	60 	25 	110 	20 	32 	16 	68 	1 	7 	0 	8 	26 	132 	27 	185 	371
6:10 PM 	18 	31 	19 	68 	35 	51 	24 	110 	0 	13 	0 	13 	15 	102 	40 	157 	348
6:15 PM 	26 	64 	30 	120 	14 	57 	24 	95 	0 	10 	1 	11 	24 	110 	27 	161 	387
6:20 PM 	18 	43 	21 	82 	27 	63 	20 	110 	1 	13 	0 	14 	20 	109 	22 	151 	357
6:25 PM 	24 	58 	30 	112 	15 	32 	12 	59 	0 	6 	0 	6 	14 	89 	23 	126 	303
6:30 PM 	17 	56 	29 	102 	27 	44 	18 	89 	0 	8 	0 	8 	14 	67 	23 	104 	303
6:35 PM 	24 	66 	29 	119 	34 	38 	15 	87 	0 	14 	0 	14 	9 	58 	22 	89 	309
6:40 PM 	18 	44 	26 	88 	34 	54 	16 	104 	0 	11 	1 	12 	8 	74 	18 	100 	304
6:45 PM 	23 	39 	20 	82 	21 	38 	13 	72 	0 	6 	0 	6 	12 	60 	26 	98 	258
6:50 PM 	27 	47 	23 	97 	16 	44 	23 	83 	1 	13 	0 	14 	18 	56 	18 	92 	286
6:55 PM 	15 	51 	23 	89 	17 	38 	20 	75 	0 	6 	0 	6 	11 	47 	13 	71 	241
7:00 PM 	23 	45 	20 	88 	14 	35 	21 	70 	2 	7 	1 	10 	14 	40 	19 	73 	241
7:05 PM 	17 	34 	17 	68 	17 	30 	16 	63 	0 	5 	0 	5 	12 	62 	13 	87 	223
7:10 PM 	23 	50 	16 	89 	8 	19 	12 	39 	0 	15 	0 	15 	15 	48 	14 	77 	220
7:15 PM 	13 	41 	24 	78 	18 	26 	17 	61 	0 	15 	0 	15 	7 	56 	20 	83 	237
7:20 PM 	13 	40 	21 	74 	15 	24 	11 	50 	0 	7 	0 	7 	14 	43 	16 	73 	204
7:25 PM 	9 	37 	21 	67 	20 	23 	13 	56 	0 	8 	0 	8 	10 	47 	27 	84 	215
7:30 PM 	14 	20 	14 	48 	10 	23 	12 	45 	0 	13 	0 	13 	13 	44 	11 	68 	174
7:35 PM 	10 	35 	12 	57 	15 	27 	20 	62 	0 	9 	0 	9 	12 	30 	11 	53 	181
7:40 PM 	13 	44 	19 	76 	21 	48 	20 	89 	1 	3 	0 	4 	14 	37 	12 	63 	232
7:45 PM 	21 	28 	16 	65 	19 	43 	12 	74 	0 	4 	0 	4 	10 	48 	14 	72 	215
7:50 PM 	9 	24 	7 	40 	13 	35 	17 	65 	0 	9 	0 	9 	7 	35 	15 	57 	171
7:55 PM 	3 	33 	14 	50 	11 	22 	10 	43 	0 	11 	0 	11 	9 	34 	10 	53 	157
8:00 PM 	15 	35 	11 	61 	17 	39 	14 	70 	2 	8 	0 	10 	8 	31 	9 	48 	189
8:05 PM 	17 	37 	21 	75 	9 	36 	19 	64 	1 	3 	0 	4 	10 	37 	15 	62 	205
8:10 PM 	12 	46 	17 	75 	20 	37 	6 	63 	0 	8 	1 	9 	6 	23 	11 	40 	187
8:15 PM 	10 	29 	16 	55 	13 	43 	16 	72 	0 	9 	0 	9 	15 	44 	11 	70 	206
8:20 PM 	10 	37 	17 	64 	4 	35 	13 	52 	0 	7 	1 	8 	7 	27 	11 	45 	169
8:25 PM 	11 	44 	11 	66 	15 	40 	14 	69 	1 	5 	0 	6 	13 	24 	9 	46 	187
8:30 PM 	11 	31 	17 	59 	7 	35 	8 	50 	0 	6 	0 	6 	12 	28 	9 	49 	164
8:35 PM 	4 	30 	11 	45 	4 	30 	14 	48 	2 	10 	0 	12 	8 	40 	10 	58 	163
8:40 PM 	10 	25 	12 	47 	9 	30 	12 	51 	1 	7 	0 	8 	3 	29 	14 	46 	152
8:45 PM 	10 	39 	14 	63 	6 	35 	13 	54 	0 	4 	0 	4 	5 	23 	14 	42 	163
8:50 PM 	12 	31 	14 	57 	15 	37 	18 	70 	1 	4 	0 	5 	7 	24 	12 	43 	175
8:55 PM 	5 	33 	21 	59 	8 	49 	19 	76 	0 	6 	0 	6 	3 	24 	7 	34 	175
