Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
9:55 AM 	28 	51 	20 	99 	18 	29 	20 	67 	5 	29 	2 	36 	14 	37 	9 	60 	262
10:00 AM 	19 	35 	20 	74 	16 	29 	13 	58 	7 	47 	1 	55 	5 	57 	22 	84 	271
10:05 AM 	17 	36 	13 	66 	19 	41 	19 	79 	9 	46 	0 	55 	14 	68 	16 	98 	298
10:10 AM 	24 	27 	29 	80 	13 	21 	8 	42 	8 	40 	2 	50 	10 	51 	19 	80 	252
10:15 AM 	29 	39 	24 	92 	18 	37 	12 	67 	4 	43 	1 	48 	9 	52 	21 	82 	289
10:20 AM 	14 	23 	16 	53 	18 	35 	18 	71 	6 	35 	1 	42 	15 	46 	15 	76 	242
10:25 AM 	16 	23 	14 	53 	23 	38 	23 	84 	5 	57 	1 	63 	9 	55 	21 	85 	285
10:30 AM 	22 	22 	18 	62 	12 	21 	13 	46 	7 	38 	2 	47 	12 	77 	27 	116 	271
10:35 AM 	17 	41 	20 	78 	17 	38 	12 	67 	6 	51 	0 	57 	11 	66 	17 	94 	296
10:40 AM 	28 	28 	25 	81 	10 	34 	16 	60 	5 	34 	1 	40 	4 	53 	16 	73 	254
10:45 AM 	22 	49 	24 	95 	28 	37 	19 	84 	3 	55 	3 	61 	11 	52 	12 	75 	315
10:50 AM 	13 	29 	19 	61 	18 	25 	15 	58 	5 	50 	7 	62 	11 	62 	12 	85 	266
10:55 AM 	16 	53 	24 	93 	8 	13 	11 	32 	6 	59 	7 	72 	11 	55 	17 	83 	280
11:00 AM 	17 	53 	29 	99 	23 	13 	15 	51 	5 	49 	3 	57 	3 	49 	14 	66 	273
11:05 AM 	20 	34 	20 	74 	25 	27 	16 	68 	3 	40 	5 	48 	7 	52 	21 	80 	270
11:10 AM 	9 	30 	13 	52 	28 	25 	20 	73 	9 	53 	6 	68 	8 	66 	19 	93 	286
11:15 AM 	18 	41 	24 	83 	14 	29 	8 	51 	7 	63 	5 	75 	12 	61 	18 	91 	300
11:20 AM 	22 	44 	17 	83 	14 	18 	9 	41 	2 	45 	6 	53 	14 	65 	19 	98 	275
11:25 AM 	23 	45 	29 	97 	28 	33 	16 	77 	6 	45 	5 	56 	7 	54 	14 	75 	305
11:30 AM 	17 	46 	17 	80 	25 	24 	18 	67 	4 	43 	5 	52 	15 	64 	14 	93 	292
11:35 AM 	10 	37 	20 	67 	24 	18 	16 	58 	7 	54 	3 	64 	20 	65 	17 	102 	291
11:40 AM 	35 	43 	20 	98 	16 	25 	11 	52 	3 	46 	5 	54 	13 	68 	24 	105 	309
11:45 AM 	15 	33 	19 	67 	24 	41 	22 	87 	4 	46 	3 	53 	17 	60 	19 	96 	303
11:50 AM 	18 	38 	27 	83 	28 	44 	26 	98 	2 	33 	2 	37 	13 	56 	19 	88 	306
11:55 AM 	18 	37 	29 	84 	24 	49 	29 	102 	5 	53 	3 	61 	8 	64 	17 	89 	336
12:00 PM 	29 	29 	25 	83 	14 	28 	15 	57 	6 	51 	3 	60 	13 	73 	23 	109 	309
12:05 PM 	28 	39 	24 	91 	19 	24 	16 	59 	6 	45 	1 	52 	9 	68 	25 	102 	304
12:10 PM 	24 	27 	28 	79 	33 	31 	19 	83 	3 	35 	2 	40 	14 	75 	16 	105 	307
12:15 PM 	31 	34 	21 	86 	22 	31 	15 	68 	6 	47 	2 	55 	14 	69 	18 	101 	310
12:20 PM 	22 	38 	24 	84 	25 	34 	16 	75 	2 	77 	3 	82 	8 	62 	16 	86 	327
12:25 PM 	20 	59 	31 	110 	15 	26 	18 	59 	5 	45 	1 	51 	16 	71 	24 	111 	331
12:30 PM 	24 	33 	9 	66 	25 	56 	24 	105 	3 	39 	0 	42 	10 	61 	30 	101 	314
12:35 PM 	38 	47 	27 	112 	19 	33 	24 	76 	4 	47 	4 	55 	9 	59 	22 	90 	333
12:40 PM 	11 	41 	27 	79 	34 	33 	20 	87 	2 	76 	8 	86 	16 	80 	16 	112 	364
12:45 PM 	26 	44 	20 	90 	19 	25 	21 	65 	9 	45 	2 	56 	14 	68 	27 	109 	320
12:50 PM 	23 	44 	32 	99 	17 	36 	20 	73 	4 	51 	4 	59 	17 	81 	21 	119 	350
12:55 PM 	31 	44 	27 	102 	28 	27 	21 	76 	2 	31 	2 	35 	15 	46 	21 	82 	295
1:00 PM 	23 	45 	23 	91 	29 	44 	22 	95 	5 	59 	4 	68 	7 	86 	30 	123 	377
1:05 PM 	15 	31 	18 	64 	34 	49 	19 	102 	5 	62 	4 	71 	6 	70 	34 	110 	347
1:10 PM 	21 	49 	29 	99 	18 	30 	17 	65 	5 	77 	0 	82 	15 	86 	35 	136 	382
1:15 PM 	26 	52 	28 	106 	27 	41 	30 	98 	4 	40 	1 	45 	19 	61 	23 	103 	352
1:20 PM 	28 	38 	26 	92 	23 	23 	24 	70 	5 	53 	2 	60 	9 	58 	16 	83 	305
1:25 PM 	15 	36 	26 	77 	20 	19 	24 	63 	3 	68 	5 	76 	10 	79 	25 	114 	330
1:30 PM 	18 	37 	16 	71 	21 	31 	21 	73 	2 	58 	3 	63 	14 	78 	23 	115 	322
1:35 PM 	23 	38 	33 	94 	19 	45 	26 	90 	3 	51 	1 	55 	15 	88 	41 	144 	383
1:40 PM 	20 	51 	30 	101 	12 	50 	23 	85 	3 	37 	7 	47 	9 	48 	20 	77 	310
1:45 PM 	24 	57 	29 	110 	28 	43 	10 	81 	2 	56 	5 	63 	7 	84 	21 	112 	366
1:50 PM 	16 	32 	19 	67 	31 	30 	9 	70 	3 	46 	0 	49 	10 	71 	29 	110 	296
1:55 PM 	25 	35 	38 	98 	22 	31 	14 	67 	7 	64 	2 	73 	12 	91 	29 	132 	370
2:00 PM 	14 	30 	16 	60 	24 	50 	20 	94 	4 	52 	7 	63 	14 	66 	21 	101 	318
2:05 PM 	26 	46 	32 	104 	23 	44 	23 	90 	5 	53 	4 	62 	7 	70 	28 	105 	361
2:10 PM 	15 	43 	24 	82 	24 	39 	24 	87 	5 	46 	3 	54 	12 	57 	26 	95 	318
2:15 PM 	22 	40 	29 	91 	17 	31 	15 	63 	5 	54 	6 	65 	14 	83 	32 	129 	348
2:20 PM 	29 	41 	13 	83 	26 	27 	14 	67 	2 	49 	3 	54 	13 	85 	37 	135 	339
2:25 PM 	18 	31 	24 	73 	29 	25 	16 	70 	4 	41 	5 	50 	13 	57 	34 	104 	297
2:30 PM 	25 	49 	22 	96 	29 	42 	22 	93 	4 	51 	1 	56 	8 	82 	26 	116 	361
2:35 PM 	10 	36 	18 	64 	24 	48 	20 	92 	5 	59 	3 	67 	19 	76 	12 	107 	330
2:40 PM 	22 	37 	30 	89 	17 	39 	14 	70 	4 	48 	4 	56 	14 	76 	24 	114 	329
2:45 PM 	26 	44 	30 	100 	27 	14 	20 	61 	2 	55 	4 	61 	9 	64 	19 	92 	314
2:50 PM 	19 	42 	23 	84 	28 	41 	27 	96 	3 	49 	5 	57 	8 	77 	18 	103 	340
2:55 PM 	9 	47 	19 	75 	29 	43 	18 	90 	3 	52 	0 	55 	9 	74 	21 	104 	324
3:00 PM 	14 	30 	27 	71 	25 	23 	26 	74 	3 	59 	4 	66 	9 	87 	21 	117 	328
3:05 PM 	24 	41 	11 	76 	23 	21 	14 	58 	4 	57 	2 	63 	17 	87 	24 	128 	325
3:10 PM 	35 	65 	31 	131 	24 	31 	26 	81 	2 	42 	4 	48 	7 	63 	27 	97 	357
3:15 PM 	27 	47 	24 	98 	19 	35 	19 	73 	3 	59 	2 	64 	14 	73 	20 	107 	342
3:20 PM 	21 	38 	22 	81 	26 	35 	17 	78 	5 	55 	4 	64 	15 	90 	24 	129 	352
3:25 PM 	16 	45 	17 	78 	19 	31 	10 	60 	8 	58 	1 	67 	10 	92 	27 	129 	334
3:30 PM 	18 	36 	11 	65 	23 	49 	14 	86 	3 	37 	2 	42 	13 	84 	24 	121 	314
3:35 PM 	27 	66 	35 	128 	17 	20 	11 	48 	3 	56 	1 	60 	23 	81 	28 	132 	368
3:40 PM 	17 	38 	19 	74 	31 	34 	17 	82 	1 	56 	2 	59 	11 	89 	25 	125 	340
3:45 PM 	21 	63 	44 	128 	15 	29 	16 	60 	3 	55 	2 	60 	21 	107 	23 	151 	399
3:50 PM 	17 	35 	29 	81 	29 	40 	22 	91 	1 	54 	3 	58 	14 	114 	27 	155 	385
3:55 PM 	28 	43 	36 	107 	20 	33 	20 	73 	3 	53 	3 	59 	9 	97 	19 	125 	364
4:00 PM 	27 	34 	20 	81 	25 	42 	29 	96 	3 	62 	2 	67 	16 	107 	18 	141 	385
4:05 PM 	23 	51 	37 	111 	21 	39 	30 	90 	2 	55 	1 	58 	11 	116 	24 	151 	410
4:10 PM 	12 	40 	24 	76 	26 	47 	22 	95 	7 	51 	2 	60 	4 	109 	23 	136 	367
4:15 PM 	24 	59 	30 	113 	21 	40 	18 	79 	6 	28 	3 	37 	18 	122 	16 	156 	385
4:20 PM 	17 	40 	28 	85 	35 	27 	18 	80 	3 	54 	5 	62 	17 	134 	24 	175 	402
4:25 PM 	35 	44 	28 	107 	23 	25 	20 	68 	3 	48 	4 	55 	18 	103 	30 	151 	381
4:30 PM 	16 	29 	18 	63 	28 	38 	12 	78 	5 	71 	2 	78 	14 	135 	31 	180 	399
4:35 PM 	18 	61 	30 	109 	22 	37 	16 	75 	5 	48 	2 	55 	20 	101 	19 	140 	379
4:40 PM 	18 	36 	21 	75 	26 	47 	26 	99 	4 	62 	5 	71 	16 	154 	21 	191 	436
4:45 PM 	25 	65 	32 	122 	19 	45 	26 	90 	3 	37 	3 	43 	23 	123 	25 	171 	426
4:50 PM 	25 	41 	25 	91 	25 	38 	25 	88 	2 	46 	3 	51 	10 	141 	26 	177 	407
4:55 PM 	20 	62 	32 	114 	20 	46 	27 	93 	1 	57 	0 	58 	15 	107 	32 	154 	419
5:00 PM 	12 	31 	28 	71 	30 	61 	28 	119 	1 	78 	5 	84 	15 	131 	31 	177 	451
5:05 PM 	24 	57 	41 	122 	17 	21 	21 	59 	5 	54 	3 	62 	25 	128 	20 	173 	416
5:10 PM 	20 	42 	32 	94 	33 	40 	20 	93 	2 	82 	7 	91 	18 	151 	34 	203 	481
5:15 PM 	26 	54 	42 	122 	19 	48 	25 	92 	4 	67 	2 	73 	17 	142 	39 	198 	485
5:20 PM 	21 	42 	27 	90 	31 	48 	27 	106 	1 	78 	1 	80 	23 	139 	8 	170 	446
5:25 PM 	27 	59 	36 	122 	20 	30 	4 	54 	0 	61 	2 	63 	17 	106 	21 	144 	383
5:30 PM 	14 	39 	25 	78 	32 	40 	9 	81 	1 	67 	2 	70 	5 	126 	26 	157 	386
5:35 PM 	25 	52 	41 	118 	17 	19 	14 	50 	2 	45 	1 	48 	14 	114 	34 	162 	378
5:40 PM 	21 	39 	25 	85 	27 	42 	16 	85 	2 	67 	4 	73 	19 	134 	23 	176 	419
5:45 PM 	19 	61 	39 	119 	21 	29 	17 	67 	3 	42 	2 	47 	18 	102 	37 	157 	390
5:50 PM 	14 	44 	28 	86 	21 	33 	25 	79 	3 	73 	4 	80 	7 	142 	20 	169 	414
5:55 PM 	29 	68 	39 	136 	18 	33 	33 	84 	1 	44 	3 	48 	20 	124 	26 	170 	438
6:00 PM 	19 	37 	18 	74 	29 	46 	25 	100 	5 	73 	2 	80 	10 	117 	34 	161 	415
6:05 PM 	28 	59 	33 	120 	17 	47 	27 	91 	0 	39 	2 	41 	17 	124 	26 	167 	419
6:10 PM 	17 	48 	28 	93 	25 	37 	22 	84 	3 	61 	5 	69 	14 	116 	28 	158 	404
6:15 PM 	25 	36 	30 	91 	16 	37 	20 	73 	1 	40 	3 	44 	11 	105 	24 	140 	348
6:20 PM 	23 	24 	27 	74 	28 	45 	22 	95 	2 	63 	3 	68 	13 	97 	18 	128 	365
6:25 PM 	23 	51 	37 	111 	14 	29 	20 	63 	4 	56 	1 	61 	13 	76 	23 	112 	347
6:30 PM 	17 	35 	25 	77 	24 	42 	19 	85 	1 	43 	3 	47 	12 	72 	22 	106 	315
6:35 PM 	29 	54 	37 	120 	22 	34 	24 	80 	0 	43 	3 	46 	10 	74 	17 	101 	347
6:40 PM 	22 	40 	28 	90 	25 	32 	22 	79 	7 	53 	6 	66 	9 	83 	17 	109 	344
6:45 PM 	19 	49 	29 	97 	10 	23 	21 	54 	2 	52 	2 	56 	14 	62 	19 	95 	302
6:50 PM 	27 	43 	31 	101 	1 	26 	15 	42 	5 	42 	0 	47 	16 	78 	17 	111 	301
6:55 PM 	20 	28 	23 	71 	1 	42 	18 	61 	5 	42 	4 	51 	13 	70 	24 	107 	290
7:00 PM 	20 	28 	22 	70 	2 	37 	15 	54 	3 	39 	0 	42 	10 	77 	22 	109 	275
7:05 PM 	19 	22 	15 	56 	1 	38 	16 	55 	2 	48 	5 	55 	17 	61 	11 	89 	255
7:10 PM 	16 	50 	16 	82 	1 	35 	22 	58 	2 	45 	3 	50 	12 	69 	23 	104 	294
7:15 PM 	15 	43 	28 	86 	3 	50 	28 	81 	3 	39 	0 	42 	8 	63 	28 	99 	308
7:20 PM 	16 	41 	32 	89 	2 	62 	26 	90 	3 	40 	1 	44 	12 	45 	12 	69 	292
7:25 PM 	15 	27 	17 	59 	4 	49 	21 	74 	1 	39 	1 	41 	15 	54 	18 	87 	261
7:30 PM 	15 	32 	18 	65 	0 	34 	13 	47 	2 	36 	6 	44 	8 	61 	27 	96 	252
7:35 PM 	17 	23 	23 	63 	0 	40 	21 	61 	3 	42 	0 	45 	7 	33 	14 	54 	223
7:40 PM 	20 	32 	15 	67 	20 	33 	14 	67 	1 	18 	0 	19 	13 	41 	19 	73 	226
7:45 PM 	17 	42 	25 	84 	15 	23 	12 	50 	6 	44 	0 	50 	4 	37 	23 	64 	248
7:50 PM 	12 	31 	15 	58 	18 	27 	7 	52 	2 	37 	1 	40 	7 	46 	18 	71 	221
7:55 PM 	15 	22 	10 	47 	13 	20 	2 	35 	3 	36 	5 	44 	9 	38 	15 	62 	188
8:00 PM 	12 	36 	16 	64 	19 	35 	10 	64 	6 	27 	2 	35 	9 	55 	15 	79 	242
8:05 PM 	14 	33 	20 	67 	17 	30 	10 	57 	4 	31 	2 	37 	13 	38 	19 	70 	231
8:10 PM 	8 	46 	13 	67 	5 	32 	14 	51 	4 	34 	2 	40 	10 	54 	15 	79 	237
8:15 PM 	13 	19 	11 	43 	18 	26 	12 	56 	3 	45 	1 	49 	7 	39 	13 	59 	207
8:20 PM 	23 	32 	16 	71 	13 	39 	11 	63 	2 	32 	3 	37 	12 	32 	14 	58 	229
8:25 PM 	25 	46 	24 	95 	14 	41 	18 	73 	3 	34 	4 	41 	7 	37 	16 	60 	269
8:30 PM 	16 	37 	14 	67 	16 	40 	18 	74 	2 	21 	2 	25 	14 	43 	17 	74 	240
8:35 PM 	9 	16 	11 	36 	18 	25 	12 	55 	4 	29 	1 	34 	8 	43 	14 	65 	190
8:40 PM 	13 	40 	22 	75 	9 	26 	14 	49 	7 	32 	3 	42 	6 	65 	13 	84 	250
8:45 PM 	14 	40 	15 	69 	11 	41 	17 	69 	2 	36 	0 	38 	10 	34 	14 	58 	234
8:50 PM 	14 	31 	13 	58 	12 	39 	13 	64 	3 	41 	2 	46 	3 	31 	14 	48 	216
8:55 PM 	12 	47 	21 	80 	14 	35 	13 	62 	5 	41 	2 	48 	8 	32 	17 	57 	247
