Eastbound 	Westbound 	Northbound 	Southbound
L 	T 	TR 	Total 	L 	T 	TR 	Total 	L 	T 	R 	Total 	L 	T 	R 	Total 	Vehicle Total
12:05 PM 	20 	42 	24 	86 	22 	61 	32 	115 	12 	81 	28 	121 	9 	84 	19 	112 	434
12:10 PM 	24 	46 	27 	97 	26 	72 	33 	131 	11 	61 	15 	87 	13 	59 	23 	95 	410
12:15 PM 	31 	35 	33 	99 	27 	54 	28 	109 	13 	91 	23 	127 	9 	78 	14 	101 	436
12:20 PM 	24 	31 	18 	73 	32 	53 	30 	115 	8 	80 	27 	115 	12 	89 	24 	125 	428
12:25 PM 	19 	37 	24 	80 	18 	50 	24 	92 	17 	85 	27 	129 	11 	74 	27 	112 	413
12:30 PM 	28 	37 	27 	92 	27 	64 	31 	122 	7 	79 	18 	104 	9 	65 	19 	93 	411
12:35 PM 	25 	41 	23 	89 	37 	49 	27 	113 	5 	76 	22 	103 	4 	70 	28 	102 	407
12:40 PM 	20 	45 	21 	86 	28 	69 	24 	121 	9 	72 	29 	110 	15 	91 	22 	128 	445
12:45 PM 	22 	36 	30 	88 	32 	45 	26 	103 	9 	91 	27 	127 	10 	87 	25 	122 	440
12:50 PM 	27 	55 	32 	114 	32 	55 	25 	112 	8 	86 	28 	122 	15 	80 	20 	115 	463
12:55 PM 	30 	51 	31 	112 	26 	63 	32 	121 	15 	58 	23 	96 	18 	69 	16 	103 	432
1:00 PM 	20 	41 	32 	93 	24 	58 	31 	113 	12 	88 	24 	124 	7 	79 	16 	102 	432
1:05 PM 	17 	27 	25 	69 	37 	51 	19 	107 	10 	95 	33 	138 	13 	61 	23 	97 	411
1:10 PM 	31 	26 	29 	86 	20 	50 	21 	91 	11 	84 	22 	117 	10 	75 	35 	120 	414
1:15 PM 	23 	36 	25 	84 	24 	36 	20 	80 	14 	74 	32 	120 	9 	55 	22 	86 	370
1:20 PM 	31 	42 	29 	102 	27 	40 	25 	92 	9 	64 	29 	102 	12 	47 	23 	82 	378
1:25 PM 	21 	37 	24 	82 	23 	38 	25 	86 	11 	80 	38 	129 	9 	72 	18 	99 	396
1:30 PM 	23 	31 	25 	79 	26 	29 	19 	74 	10 	99 	33 	142 	11 	85 	25 	121 	416
1:35 PM 	32 	46 	22 	100 	21 	36 	25 	82 	11 	79 	27 	117 	12 	63 	19 	94 	393
1:40 PM 	24 	39 	21 	84 	32 	47 	33 	112 	12 	61 	26 	99 	12 	61 	17 	90 	385
1:45 PM 	27 	48 	34 	109 	28 	62 	19 	109 	10 	85 	27 	122 	11 	69 	26 	106 	446
1:50 PM 	25 	24 	9 	58 	32 	44 	26 	102 	16 	102 	31 	149 	11 	86 	22 	119 	428
1:55 PM 	30 	47 	27 	104 	23 	32 	25 	80 	21 	82 	31 	134 	9 	76 	31 	116 	434
2:00 PM 	21 	32 	24 	77 	22 	43 	34 	99 	9 	84 	18 	111 	12 	71 	20 	103 	390
2:05 PM 	29 	50 	34 	113 	34 	50 	31 	115 	10 	77 	25 	112 	12 	64 	15 	91 	431
2:10 PM 	17 	36 	29 	82 	24 	54 	27 	105 	12 	86 	39 	137 	10 	74 	25 	109 	433
2:15 PM 	20 	32 	28 	80 	25 	30 	19 	74 	6 	90 	24 	120 	13 	91 	21 	125 	399
2:20 PM 	18 	42 	39 	99 	25 	49 	23 	97 	11 	76 	26 	113 	11 	78 	21 	110 	419
2:25 PM 	22 	47 	28 	97 	16 	58 	21 	95 	10 	74 	18 	102 	13 	58 	21 	92 	386
2:30 PM 	26 	39 	21 	86 	22 	69 	35 	126 	10 	92 	26 	128 	7 	96 	14 	117 	457
2:35 PM 	21 	34 	36 	91 	31 	72 	30 	133 	16 	90 	29 	135 	15 	101 	29 	145 	504
2:40 PM 	30 	53 	27 	110 	10 	58 	27 	95 	4 	98 	24 	126 	13 	85 	18 	116 	447
2:45 PM 	16 	53 	35 	104 	25 	54 	32 	111 	11 	64 	24 	99 	14 	81 	10 	105 	419
2:50 PM 	26 	47 	33 	106 	18 	69 	27 	114 	5 	82 	22 	109 	8 	87 	16 	111 	440
2:55 PM 	22 	26 	27 	75 	25 	57 	29 	111 	6 	88 	39 	133 	13 	92 	11 	116 	435
3:00 PM 	25 	40 	27 	92 	26 	35 	29 	90 	9 	76 	27 	112 	14 	81 	18 	113 	407
3:05 PM 	23 	51 	28 	102 	32 	55 	33 	120 	8 	70 	24 	102 	14 	82 	16 	112 	436
3:10 PM 	18 	43 	28 	89 	32 	59 	33 	124 	5 	72 	19 	96 	13 	66 	16 	95 	404
3:15 PM 	23 	45 	23 	91 	30 	60 	32 	122 	10 	99 	34 	143 	16 	82 	12 	110 	466
3:20 PM 	20 	22 	12 	54 	30 	52 	25 	107 	11 	79 	22 	112 	14 	103 	26 	143 	416
3:25 PM 	35 	43 	17 	95 	19 	35 	18 	72 	8 	90 	29 	127 	16 	118 	20 	154 	448
3:30 PM 	24 	47 	28 	99 	33 	56 	20 	109 	10 	63 	29 	102 	14 	103 	18 	135 	445
3:35 PM 	27 	51 	34 	112 	18 	61 	17 	96 	8 	70 	19 	97 	18 	86 	22 	126 	431
3:40 PM 	17 	36 	20 	73 	24 	68 	16 	108 	6 	101 	30 	137 	12 	102 	12 	126 	444
3:45 PM 	21 	47 	34 	102 	25 	47 	17 	89 	11 	64 	24 	99 	16 	80 	6 	102 	392
3:50 PM 	15 	40 	28 	83 	38 	44 	8 	90 	8 	98 	23 	129 	18 	125 	20 	163 	465
3:55 PM 	20 	56 	39 	115 	21 	41 	16 	78 	14 	73 	35 	122 	15 	105 	8 	128 	443
4:00 PM 	13 	31 	26 	70 	38 	44 	27 	109 	8 	95 	27 	130 	12 	121 	11 	144 	453
4:05 PM 	21 	46 	38 	105 	26 	36 	25 	87 	6 	68 	28 	102 	11 	111 	16 	138 	432
4:10 PM 	15 	42 	20 	77 	36 	38 	24 	98 	9 	104 	35 	148 	11 	119 	15 	145 	468
4:15 PM 	28 	56 	32 	116 	25 	34 	23 	82 	9 	80 	25 	114 	18 	97 	21 	136 	448
4:20 PM 	9 	35 	22 	66 	27 	58 	24 	109 	2 	106 	32 	140 	17 	143 	10 	170 	485
4:25 PM 	31 	44 	29 	104 	24 	37 	26 	87 	7 	75 	27 	109 	12 	103 	11 	126 	426
4:30 PM 	18 	34 	21 	73 	40 	51 	34 	125 	3 	113 	43 	159 	11 	138 	11 	160 	517
4:35 PM 	21 	67 	16 	104 	24 	37 	23 	84 	7 	88 	21 	116 	16 	113 	10 	139 	443
4:40 PM 	20 	52 	31 	103 	19 	49 	39 	107 	8 	113 	41 	162 	12 	140 	8 	160 	532
4:45 PM 	25 	51 	36 	112 	27 	37 	23 	87 	10 	92 	27 	129 	10 	102 	7 	119 	447
4:50 PM 	15 	35 	29 	79 	35 	42 	25 	102 	14 	109 	29 	152 	2 	104 	8 	114 	447
4:55 PM 	29 	49 	43 	121 	25 	39 	25 	89 	10 	91 	25 	126 	9 	113 	11 	133 	469
5:00 PM 	11 	41 	27 	79 	36 	43 	23 	102 	9 	80 	37 	126 	19 	121 	16 	156 	463
5:05 PM 	29 	67 	34 	130 	26 	27 	28 	81 	10 	83 	35 	128 	16 	114 	9 	139 	478
5:10 PM 	15 	51 	30 	96 	39 	47 	20 	106 	8 	95 	35 	138 	18 	114 	14 	146 	486
5:15 PM 	31 	59 	25 	115 	29 	36 	15 	80 	10 	91 	31 	132 	13 	115 	13 	141 	468
5:20 PM 	14 	36 	20 	70 	35 	57 	20 	112 	6 	98 	34 	138 	16 	128 	10 	154 	474
5:25 PM 	40 	49 	41 	130 	21 	40 	24 	85 	12 	92 	36 	140 	11 	100 	16 	127 	482
5:30 PM 	21 	40 	22 	83 	38 	37 	22 	97 	7 	98 	40 	145 	8 	111 	13 	132 	457
5:35 PM 	20 	61 	28 	109 	24 	30 	16 	70 	8 	90 	24 	122 	10 	110 	15 	135 	436
5:40 PM 	22 	36 	29 	87 	40 	55 	30 	125 	6 	91 	27 	124 	11 	121 	10 	142 	478
5:45 PM 	32 	60 	35 	127 	26 	52 	24 	102 	12 	92 	30 	134 	12 	90 	5 	107 	470
5:50 PM 	21 	41 	28 	90 	45 	43 	26 	114 	9 	114 	31 	154 	14 	112 	14 	140 	498
5:55 PM 	32 	54 	34 	120 	26 	31 	24 	81 	8 	68 	26 	102 	16 	91 	10 	117 	420
6:00 PM 	16 	27 	21 	64 	34 	57 	25 	116 	9 	107 	39 	155 	16 	115 	16 	147 	482
6:05 PM 	28 	44 	29 	101 	22 	46 	25 	93 	13 	77 	21 	111 	17 	90 	12 	119 	424
6:10 PM 	23 	35 	17 	75 	31 	56 	26 	113 	4 	92 	29 	125 	17 	92 	9 	118 	431
6:15 PM 	28 	33 	28 	89 	22 	49 	26 	97 	11 	76 	23 	110 	17 	81 	10 	108 	404
6:20 PM 	18 	35 	25 	78 	31 	59 	24 	114 	14 	84 	26 	124 	11 	92 	10 	113 	429
6:25 PM 	26 	53 	30 	109 	19 	28 	29 	76 	7 	90 	31 	128 	7 	58 	21 	86 	399
6:30 PM 	21 	38 	32 	91 	30 	49 	30 	109 	8 	70 	19 	97 	9 	66 	7 	82 	379
6:35 PM 	29 	48 	23 	100 	23 	59 	28 	110 	12 	74 	29 	115 	10 	50 	9 	69 	394
6:40 PM 	10 	40 	12 	62 	26 	55 	27 	108 	12 	66 	22 	100 	14 	57 	12 	83 	353
6:45 PM 	30 	30 	16 	76 	25 	42 	13 	80 	17 	61 	24 	102 	11 	81 	10 	102 	360
6:50 PM 	24 	66 	23 	113 	20 	58 	22 	100 	8 	74 	33 	115 	11 	58 	18 	87 	415
6:55 PM 	27 	33 	23 	83 	22 	41 	28 	91 	11 	39 	22 	72 	15 	50 	10 	75 	321
7:00 PM 	22 	47 	18 	87 	29 	64 	33 	126 	14 	65 	16 	95 	10 	47 	7 	64 	372
7:05 PM 	10 	36 	20 	66 	24 	51 	18 	93 	12 	70 	18 	100 	15 	59 	9 	83 	342
7:10 PM 	25 	55 	22 	102 	15 	36 	26 	77 	17 	80 	19 	116 	17 	55 	10 	82 	377
7:15 PM 	19 	41 	22 	82 	23 	57 	28 	108 	13 	54 	15 	82 	6 	61 	14 	81 	353
7:20 PM 	18 	36 	21 	75 	26 	65 	24 	115 	10 	45 	22 	77 	6 	39 	8 	53 	320
7:25 PM 	13 	44 	25 	82 	20 	54 	24 	98 	7 	61 	16 	84 	14 	60 	2 	76 	340
7:30 PM 	17 	32 	19 	68 	21 	33 	17 	71 	13 	68 	26 	107 	12 	53 	11 	76 	322
7:35 PM 	15 	38 	33 	86 	16 	50 	17 	83 	9 	48 	15 	72 	8 	42 	7 	57 	298
7:40 PM 	19 	36 	16 	71 	25 	42 	30 	97 	11 	56 	24 	91 	10 	50 	10 	70 	329
7:45 PM 	11 	37 	19 	67 	17 	39 	27 	83 	10 	55 	26 	91 	10 	68 	13 	91 	332
7:50 PM 	12 	30 	15 	57 	23 	44 	16 	83 	11 	44 	20 	75 	9 	53 	14 	76 	291
7:55 PM 	23 	42 	25 	90 	14 	31 	17 	62 	12 	63 	24 	99 	8 	54 	2 	64 	315
8:00 PM 	17 	37 	20 	74 	14 	49 	10 	73 	6 	48 	16 	70 	12 	44 	9 	65 	282
8:05 PM 	20 	25 	16 	61 	21 	53 	19 	93 	11 	52 	22 	85 	12 	35 	9 	56 	295
8:10 PM 	19 	32 	16 	67 	23 	39 	21 	83 	22 	66 	26 	114 	13 	40 	2 	55 	319
8:15 PM 	18 	36 	21 	75 	23 	43 	15 	81 	14 	67 	25 	106 	12 	56 	7 	75 	337
8:20 PM 	19 	35 	16 	70 	14 	26 	12 	52 	15 	61 	15 	91 	14 	41 	12 	67 	280
8:25 PM 	18 	48 	13 	79 	19 	55 	22 	96 	10 	42 	15 	67 	10 	30 	4 	44 	286
8:30 PM 	12 	46 	17 	75 	24 	48 	18 	90 	10 	64 	22 	96 	8 	32 	17 	57 	318
8:35 PM 	15 	22 	10 	47 	21 	41 	20 	82 	10 	33 	16 	59 	6 	42 	5 	53 	241
8:40 PM 	19 	29 	15 	63 	11 	29 	17 	57 	15 	62 	20 	97 	4 	53 	11 	68 	285
8:45 PM 	13 	37 	21 	71 	14 	39 	23 	76 	9 	45 	17 	71 	8 	30 	11 	49 	267
8:50 PM 	12 	42 	17 	71 	16 	66 	28 	110 	7 	56 	21 	84 	7 	51 	6 	64 	329
8:55 PM 	14 	42 	17 	73 	16 	38 	21 	75 	10 	56 	13 	79 	8 	29 	7 	44 	271
