		Eastbound			    Westbound			    Northbound			    Southbound
		L	T	TR	Total	    L	T	TR	Total	    L	T	R	Total	    L	T	R	Total	Vehicle Total
8:55 AM		15	52	25	92	    21	53	27	101	    18	80	37	135	    7	12	12	31	    359
9:00 AM		27	41	16	84	    18	35	26	79	    21	55	25	101	    4	20	13	37	    301
9:05 AM		31	79	20	130	    13	31	12	56	    12	92	24	128	    5	16	17	38	    352
9:10 AM		26	53	21	100	    15	50	27	92	    12	65	16	93	    7	11	11	29	    314
9:15 AM		20	49	30	99	    12	39	17	68	    11	44	19	74	    4	19	11	34	    275
9:20 AM		16	47	21	84	    22	36	17	75	    17	65	25	107	    9	12	13	34	    300
9:25 AM		18	46	24	88	    9	20	11	40	    13	59	23	95	    6	18	9	33	    256
9:30 AM		18	61	21	100	    20	55	21	96	    14	58	13	85	    5	20	15	40	    321
9:35 AM		20	46	32	98	    17	52	22	91	    11	41	13	65	    5	13	16	34	    288
9:40 AM		21	38	20	79	    17	48	30	95	    8	48	17	73	    9	26	11	46	    293
9:45 AM		29	46	29	104	    11	34	15	60	    18	64	16	98	    6	21	16	43	    305
9:50 AM		25	50	25	100	    11	42	23	76	    11	52	23	86	    6	27	8	41	    303
9:55 AM		16	46	30	92	    23	28	12	63	    12	52	16	80	    7	14	15	36	    271
10:00 AM	17	35	22	74	    17	51	24	92	    11	51	16	78	    5	20	17	42	    286
10:05 AM	19	45	25	89	    16	43	22	81	    17	56	11	84	    8	16	10	34	    288
10:10 AM	19	34	20	73	    16	22	16	54	    15	64	11	90	    8	30	14	52	    269
10:15 AM	17	47	21	85	    17	28	21	66	    14	48	19	81	    11	28	19	58	    290
10:20 AM	13	41	20	74	    20	33	17	70	    12	59	13	84	    4	19	15	38	    266
10:25 AM	12	47	24	83	    22	38	15	75	    11	40	14	65	    7	24	15	46	    269
10:30 AM	20	42	28	90	    20	24	9	53	    17	65	18	100	    16	25	19	60	    303
10:35 AM	14	50	23	87	    17	38	15	70	    13	61	16	90	    5	22	23	50	    297
10:40 AM	23	43	25	91	    27	41	22	90	    21	56	13	90	    9	18	9	36	    307
10:45 AM	26	38	23	87	    37	41	16	94	    15	53	18	86	    6	24	15	45	    312
10:50 AM	16	40	19	75	    31	32	17	80	    17	59	17	93	    14	26	18	58	    306
10:55 AM	18	38	23	79	    15	34	15	64	    16	68	37	121	    8	27	17	52	    316
11:00 AM	26	42	21	89	    19	47	22	88	    13	61	20	94	    13	24	15	52	    323
11:05 AM	14	52	31	97	    30	40	19	89	    22	51	13	86	    11	14	14	39	    311
11:10 AM	14	34	23	71	    27	54	22	103	    17	69	19	105	    10	30	20	60	    339
11:15 AM	17	41	22	80	    21	35	15	71	    19	91	19	129	    9	26	22	57	    337
11:20 AM	25	49	27	101	    15	42	18	75	    17	78	26	121	    6	21	16	43	    340
11:25 AM	28	44	26	98	    28	31	16	75	    17	68	19	104	    11	20	16	47	    324
11:30 AM	30	36	15	81	    30	49	21	100	    11	62	18	91	    4	31	20	55	    327
11:35 AM	23	18	24	65	    27	45	20	92	    13	83	24	120	    12	29	17	58	    335
11:40 AM	19	47	19	85	    26	33	16	75	    13	75	26	114	    15	32	22	69	    343
11:45 AM	23	54	29	106	    21	41	22	84	    11	83	19	113	    8	35	25	68	    371
11:50 AM	30	41	32	103	    24	49	30	103	    10	50	18	78	    10	20	21	51	    335
11:55 AM	21	39	16	76	    31	49	32	112	    12	69	23	104	    12	31	19	62	    354
12:00 PM	26	53	26	105	    24	33	16	73	    12	67	21	100	    14	30	20	64	    342
12:05 PM	27	38	27	92	    22	44	22	88	    14	70	21	105	    6	23	17	46	    331
12:10 PM	34	42	26	102	    34	48	30	112	    17	68	17	102	    13	21	22	56	    372
12:15 PM	34	38	22	94	    34	56	19	109	    20	81	25	126	    15	30	21	66	    395
12:20 PM	20	32	20	72	    21	50	23	94	    10	75	30	115	    14	31	29	74	    355
12:25 PM	24	48	31	103	    18	40	16	74	    14	77	24	115	    14	32	24	70	    362
12:30 PM	29	55	28	112	    19	57	23	99	    15	53	15	83	    10	20	13	43	    337
12:35 PM	33	37	28	98	    25	57	23	105	    12	83	24	119	    7	32	24	63	    385
12:40 PM	19	34	24	77	    40	35	17	92	    19	89	27	135	    12	37	23	72	    376
12:45 PM	28	41	27	96	    31	36	23	90	    15	90	23	128	    6	45	23	74	    388
12:50 PM	25	38	24	87	    29	39	28	96	    24	59	28	111	    12	37	17	66	    360
12:55 PM	26	46	29	101	    22	38	23	83	    24	65	23	112	    10	10	13	33	    329
1:00 PM		29	44	21	94	    15	41	27	83	    13	71	28	112	    10	27	13	50	    339
1:05 PM		23	33	26	82	    30	47	17	94	    27	94	26	147	    9	35	21	65	    388
1:10 PM		32	31	21	84	    21	31	16	68	    10	86	27	123	    12	29	31	72	    347
1:15 PM		28	55	20	103	    23	37	22	82	    23	65	25	113	    11	27	22	60	    358
1:20 PM		25	42	28	95	    29	54	25	108	    17	67	35	119	    7	27	20	54	    376
1:25 PM		14	48	29	91	    24	47	24	95	    12	70	33	115	    8	36	29	73	    374
1:30 PM		28	42	18	88	    20	27	17	64	    21	91	28	140	    13	28	14	55	    347
1:35 PM		27	47	31	105	    24	42	20	86	    14	73	23	110	    15	29	22	66	    367
1:40 PM		29	38	24	91	    24	50	17	91	    16	61	27	104	    11	28	16	55	    341
1:45 PM		23	51	27	101	    30	36	30	96	    11	76	33	120	    10	38	25	73	    390
1:50 PM		22	27	27	76	    30	39	25	94	    21	82	29	132	    12	37	21	70	    372
1:55 PM		29	61	28	118	    17	32	21	70	    15	86	34	135	    15	24	15	54	    377
2:00 PM		31	41	17	89	    25	52	17	94	    19	77	26	122	    7	24	31	62	    367
2:05 PM		24	38	21	83	    38	54	27	119	    13	49	22	84	    10	21	19	50	    336
2:10 PM		17	45	15	77	    27	51	22	100	    13	82	32	127	    9	25	9	43	    347
2:15 PM		22	34	33	89	    22	46	23	91	    19	90	32	141	    8	33	22	63	    384
2:20 PM		18	52	28	98	    27	47	18	92	    17	74	24	115	    11	36	18	65	    370
2:25 PM		22	38	22	82	    30	57	21	108	    16	64	32	112	    13	27	12	52	    354
2:30 PM		25	43	23	91	    28	55	30	113	    15	80	26	121	    5	31	12	48	    373
2:35 PM		20	46	20	86	    20	59	29	108	    14	67	24	105	    5	32	21	58	    357
2:40 PM		28	61	37	126	    11	48	17	76	    18	83	27	128	    19	31	20	70	    400
2:45 PM		15	42	24	81	    33	51	21	105	    16	67	27	110	    7	29	26	62	    358
2:50 PM		28	46	32	106	    29	62	25	116	    10	50	29	89	    7	27	23	57	    368
2:55 PM		17	44	24	85	    26	65	21	112	    20	85	29	134	    14	27	21	62	    393
3:00 PM		17	51	25	93	    23	40	21	84	    17	67	25	109	    11	39	31	81	    367
3:05 PM		35	51	28	114	    22	55	13	90	    13	74	30	117	    17	27	24	68	    389
3:10 PM		27	57	27	111	    21	71	25	117	    15	51	27	93	    12	26	25	63	    384
3:15 PM		19	64	23	106	    30	68	29	127	    14	70	38	122	    11	35	26	72	    427
3:20 PM		10	43	25	78	    28	58	27	113	    24	88	31	143	    9	39	29	77	    411
3:25 PM		22	51	22	95	    15	45	21	81	    16	77	22	115	    7	33	22	62	    353
3:30 PM		26	44	27	97	    34	76	36	146	    20	62	21	103	    13	24	29	66	    412
3:35 PM		32	57	38	127	    23	57	31	111	    22	83	27	132	    12	36	24	72	    442
3:40 PM		22	36	24	82	    35	42	25	102	    14	73	26	113	    18	31	33	82	    379
3:45 PM		29	41	30	100	    24	49	29	102	    17	81	31	129	    14	36	26	76	    407
3:50 PM		18	31	25	74	    38	65	29	132	    9	70	18	97	    13	31	28	72	    375
3:55 PM		34	48	28	110	    30	41	20	91	    17	74	24	115	    11	47	21	79	    395
4:00 PM		15	33	22	70	    29	57	23	109	    10	71	34	115	    17	32	24	73	    367
4:05 PM		22	64	35	121	    28	49	26	103	    12	86	28	126	    21	40	37	98	    448
4:10 PM		16	45	27	88	    40	60	30	130	    9	99	27	135	    15	30	9	54	    407
4:15 PM		28	55	31	114	    31	52	21	104	    19	65	28	112	    11	37	29	77	    407
4:20 PM		11	40	23	74	    42	62	32	136	    14	90	17	121	    14	34	22	70	    401
4:25 PM		17	58	32	107	    30	47	24	101	    20	87	34	141	    13	42	29	84	    433
4:30 PM		19	33	22	74	    34	50	23	107	    3	85	35	123	    18	35	22	75	    379
4:35 PM		26	53	27	106	    19	57	30	106	    14	87	32	133	    17	42	26	85	    430
4:40 PM		23	41	23	87	    33	61	31	125	    11	81	36	128	    14	40	21	75	    415
4:45 PM		26	43	34	103	    25	49	22	96	    16	97	33	146	    18	41	19	78	    423
4:50 PM		19	46	21	86	    33	64	27	124	    10	70	28	108	    15	36	24	75	    393
4:55 PM		31	60	32	123	    21	49	22	92	    14	80	31	125	    7	39	14	60	    400
5:00 PM		21	46	25	92	    41	43	26	110	    14	104	25	143	    11	36	22	69	    414
5:05 PM		28	53	31	112	    28	31	22	81	    16	84	24	124	    15	53	35	103	    420
5:10 PM		18	34	22	74	    40	63	26	129	    6	76	28	110	    19	39	25	83	    396
5:15 PM		30	53	36	119	    24	36	23	83	    18	111	28	157	    8	38	15	61	    420
5:20 PM		16	38	28	82	    36	60	30	126	    14	115	28	157	    13	42	19	74	    439
5:25 PM		34	52	33	119	    19	54	27	100	    7	82	36	125	    17	43	18	78	    422
5:30 PM		15	58	20	93	    30	46	31	107	    12	88	42	142	    12	45	21	78	    420
5:35 PM		19	74	41	134	    27	38	22	87	    14	102	33	149	    12	36	28	76	    446
5:40 PM		19	57	23	99	    32	46	22	100	    11	77	24	112	    13	33	23	69	    380
5:45 PM		24	80	42	146	    17	42	23	82	    12	94	38	144	    7	28	23	58	    430
5:50 PM		20	55	25	100	    30	51	24	105	    6	100	27	133	    12	30	15	57	    395
5:55 PM		29	76	45	150	    24	33	21	78	    15	87	31	133	    4	36	27	67	    428
6:00 PM		16	43	20	79	    38	54	28	120	    9	76	33	118	    14	40	27	81	    398
6:05 PM		35	69	37	141	    31	29	26	86	    12	76	25	113	    11	34	32	77	    417
6:10 PM		23	37	33	93	    32	55	26	113	    13	64	25	102	    4	45	31	80	    388
6:15 PM		15	78	42	135	    18	46	24	88	    17	95	27	139	    8	30	28	66	    428
6:20 PM		23	48	30	101	    29	62	31	122	    11	62	19	92	    17	21	18	56	    371
6:25 PM		23	51	29	103	    19	28	16	63	    18	71	26	115	    14	18	10	42	    323
6:30 PM		24	61	34	119	    32	40	11	83	    7	64	27	98	    17	25	14	56	    356
6:35 PM		29	55	34	118	    36	48	16	100	    12	83	28	123	    8	21	15	44	    385
6:40 PM		12	48	33	93	    22	45	10	77	    18	66	26	110	    9	25	8	42	    322
6:45 PM		27	59	34	120	    15	33	14	62	    19	69	28	116	    10	22	19	51	    349
6:50 PM		25	61	32	118	    25	38	19	82	    18	52	29	99	    12	19	19	50	    349
6:55 PM		15	54	30	99	    18	39	8	65	    13	46	18	77	    10	26	19	55	    296
7:00 PM		24	43	27	94	    24	45	14	83	    13	48	23	84	    8	15	15	38	    299
7:05 PM		19	49	22	90	    20	43	17	80	    18	56	17	91	    4	31	16	51	    312
7:10 PM		18	38	23	79	    12	33	11	56	    15	51	30	96	    16	23	23	62	    293
7:15 PM		22	53	25	100	    22	27	23	72	    15	55	21	91	    3	23	12	38	    301
7:20 PM		18	44	20	82	    12	28	15	55	    16	54	20	90	    6	20	10	36	    263
7:25 PM		11	51	23	85	    9	41	17	67	    13	47	17	77	    9	16	11	36	    265
7:30 PM		9	36	18	63	    13	24	10	47	    11	47	19	77	    7	9	23	39	    226
7:35 PM		20	44	20	84	    8	14	10	32	    17	43	18	78	    7	18	11	36	    230
7:40 PM		27	30	21	78	    16	34	13	63	    13	36	22	71	    12	9	12	33	    245
7:45 PM		13	41	18	72	    13	24	6	43	    6	64	21	91	    11	22	12	45	    251
7:50 PM		16	31	13	60	    16	43	13	72	    9	35	17	61	    9	22	8	39	    232
7:55 PM		18	32	14	64	    7	18	3	28	    17	46	14	77	    2	12	15	29	    198
8:00 PM		19	41	14	74	    13	30	10	53	    16	42	23	81	    8	12	13	33	    241
8:05 PM		19	34	14	67	    17	32	12	61	    6	38	17	61	    13	15	15	43	    232
8:10 PM		8	41	21	70	    10	39	17	66	    12	33	11	56	    11	17	9	37	    229
8:15 PM		22	26	17	65	    10	19	11	40	    14	42	17	73	    7	13	10	30	    208
8:20 PM		12	48	17	77	    10	31	14	55	    5	45	20	70	    4	8	15	27	    229
8:25 PM		13	47	19	79	    10	39	17	66	    12	39	30	81	    6	7	12	25	    251
8:30 PM		11	26	13	50	    12	15	8	35	    14	16	9	39	    9	14	10	33	    157
8:35 PM		18	41	12	71	    13	31	10	54	    20	53	14	87	    5	4	17	26	    238
8:40 PM		8	42	20	70	    10	37	16	63	    15	32	14	61	    5	11	13	29	    223
8:45 PM		10	33	15	58	    5	28	17	50	    10	47	13	70	    6	10	17	33	    211
8:50 PM		11	36	11	58	    6	31	12	49	    7	30	12	49	    6	16	7	29	    185
8:55 PM		5	41	14	60	    10	27	8	45	    7	36	16	59	    7	8	5	20	    184
9:00 PM		20	29	12	61	    7	37	11	55	    9	39	11	59	    8	8	7	23	    198
9:05 PM		5	34	19	58	    6	37	19	62	    6	32	9	47	    2	9	3	14	    181
9:10 PM		9	32	17	58	    9	40	15	64	    8	40	13	61	    3	10	6	19	    202
9:15 PM		15	32	19	66	    7	30	11	48	    12	28	12	52	    4	10	5	19	    185
9:20 PM		13	28	13	54	    6	20	7	33	    14	28	14	56	    3	5	9	17	    160
9:25 PM		5	28	10	43	    10	30	9	49	    7	35	11	53	    2	9	11	22	    167
9:30 PM		13	35	16	64	    14	17	8	39	    2	25	7	34	    7	9	7	23	    160
9:35 PM		10	28	11	49	    3	24	10	37	    10	25	15	50	    7	14	12	33	    169
9:40 PM		3	24	10	37	    4	35	8	47	    13	28	15	56	    11	15	9	35	    175
9:45 PM		10	27	9	46	    2	22	8	32	    9	25	10	44	    5	11	3	19	    141
9:50 PM		3	33	14	50	    5	23	5	33	    12	23	8	43	    3	13	6	22	    148
9:55 PM		11	31	4	46	    5	24	11	40	    12	22	4	38	    0	10	6	16	    140
